name,price,stock,barcode,category_id,base_unit,allow_decimal_quantity,expiry_date
Apple,1.5,100,100001,1,piece,False,2026-12-31
Banana,0.8,150,100002,1,piece,False,2026-12-31
Orange,1.2,120,100003,1,piece,False,2026-12-31
Mango,2.0,80,100004,1,piece,False,2026-10-15
Milk,2.5,50,100005,2,l,True,2026-06-30
Yogurt,1.1,60,100006,2,piece,False,2026-05-20
Cheese,3.5,40,100007,2,kg,True,2026-08-15
Butter,2.8,35,100008,2,kg,True,2026-09-10
Rice,1.0,500,100009,3,kg,True,2027-01-01
Sugar,0.9,300,100010,3,kg,True,2027-01-01
Salt,0.5,200,100011,3,kg,True,2028-01-01
Flour,1.1,250,100012,3,kg,True,2027-06-01
Eggs,0.2,500,100013,4,piece,False,2026-04-30
Chicken Breast,5.5,60,100014,4,kg,True,2026-04-15
Fish Fillet,4.8,45,100015,4,kg,True,2026-04-20
Tomato,0.7,180,100016,5,kg,True,2026-05-30
Potato,0.6,220,100017,5,kg,True,2026-06-15
Onion,0.75,210,100018,5,kg,True,2026-06-15
Carrot,0.85,160,100019,5,kg,True,2026-06-01
Cabbage,1.3,90,100020,5,piece,False,2026-06-10
